level,id,dataset,ie_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
M06-2X__Def2TZVPP,IE-ADIM6-0,ADIM6,-1.115667274,-1.34,0.224332726,0.224332726
M06-2X__Def2TZVPP,IE-ADIM6-1,ADIM6,-1.644728235,-1.99,0.345271765,0.345271765
M06-2X__Def2TZVPP,IE-ADIM6-2,ADIM6,-2.399529845,-2.89,0.490470155,0.490470155
M06-2X__Def2TZVPP,IE-ADIM6-3,ADIM6,-3.186111768,-3.78,0.593888232,0.593888232
M06-2X__Def2TZVPP,IE-ADIM6-4,ADIM6,-3.974117966,-4.6,0.625882034,0.625882034
M06-2X__Def2TZVPP,IE-ADIM6-5,ADIM6,-5.089699672,-5.55,0.460300328,0.460300328
M06-2X__Def2TZVPP,IE-AHB21-0,AHB21,-22.38571507,-17.79,-4.595715073,4.595715073
M06-2X__Def2TZVPP,IE-AHB21-1,AHB21,-39.31507028,-32.5,-6.815070279,6.815070279
M06-2X__Def2TZVPP,IE-AHB21-2,AHB21,-74.89753518,-65.68,-9.217535182,9.217535182
M06-2X__Def2TZVPP,IE-AHB21-3,AHB21,-10.94392099,-8.98,-1.963920987,1.963920987
M06-2X__Def2TZVPP,IE-AHB21-4,AHB21,-18.321841,-15.61,-2.711840999,2.711840999
M06-2X__Def2TZVPP,IE-AHB21-5,AHB21,-29.14137789,-25.52,-3.621377892,3.621377892
M06-2X__Def2TZVPP,IE-AHB21-6,AHB21,-16.98543144,-14.35,-2.635431436,2.635431436
M06-2X__Def2TZVPP,IE-AHB21-7,AHB21,-46.97301118,-41.79,-5.18301118,5.18301118
M06-2X__Def2TZVPP,IE-AHB21-8,AHB21,-22.70313715,-17.03,-5.673137152,5.673137152
M06-2X__Def2TZVPP,IE-AHB21-9,AHB21,-46.1828245,-37.31,-8.872824501,8.872824501
M06-2X__Def2TZVPP,IE-AHB21-10,AHB21,-8.333776943,-7.97,-0.363776943,0.363776943
M06-2X__Def2TZVPP,IE-AHB21-11,AHB21,-15.03199137,-14.13,-0.901991375,0.901991375
M06-2X__Def2TZVPP,IE-AHB21-12,AHB21,-27.87229828,-26.01,-1.862298282,1.862298282
M06-2X__Def2TZVPP,IE-AHB21-13,AHB21,-11.09313575,-11.07,-0.023135746,0.023135746
M06-2X__Def2TZVPP,IE-AHB21-14,AHB21,-10.81741989,-8.62,-2.197419886,2.197419886
M06-2X__Def2TZVPP,IE-AHB21-15,AHB21,-18.77338044,-15.73,-3.043380436,3.043380436
M06-2X__Def2TZVPP,IE-AHB21-16,AHB21,-30.16680172,-26.24,-3.926801718,3.926801718
M06-2X__Def2TZVPP,IE-AHB21-17,AHB21,-14.48570922,-12.8,-1.685709221,1.685709221
M06-2X__Def2TZVPP,IE-AHB21-18,AHB21,-22.44361168,-20.65,-1.793611685,1.793611685
M06-2X__Def2TZVPP,IE-AHB21-19,AHB21,-23.28838558,-21.03,-2.258385577,2.258385577
M06-2X__Def2TZVPP,IE-AHB21-20,AHB21,-34.00563327,-31.4,-2.605633267,2.605633267
