System label,Subset,Prediction,Reference
AE-QM7b-1244,Training,-1885.177368,-1885.227901
AE-QM7b-1433,Training,-1729.726685,-1729.523913
AE-QM7b-2311,Training,-1523.399414,-1523.438964
AE-QM7b-6982,Training,-1302.336426,-1302.172953
AE-QM7b-3625,Training,-1693.006958,-1692.103512
IE-IL174-149,Training,-96.43829346,-96.866
AE-QM7b-778,Training,-1078.645386,-1077.995429
AE-QM7b-3916,Training,-1375.833374,-1375.436294
AE-QM7b-3236,Training,-1570.512695,-1569.833417
AE-QM7b-2757,Training,-1645.721313,-1646.04557
AE-QM7b-5247,Training,-1849.950439,-1849.988281
AE-QM7b-3853,Training,-1356.492065,-1356.721149
IE-ARION583-163,Training,-5.974731445,-6.184
IE-SSI-041GLU-045LYS-1,Training,-107.9951859,-107.969
AE-QM7b-843,Training,-1379.340454,-1378.329096
AE-QM7b-631,Training,-1324.24646,-1324.200003
AE-QM7b-32,Training,-755.8433228,-756.6204834
AE-QM7b-6118,Training,-1261.167969,-1261.096808
AE-QM7b-957,Training,-1062.329712,-1062.332377
AE-QM7b-1133,Training,-845.0979004,-844.8080419
AE-QM7b-5177,Training,-1845.083984,-1844.757993
AE-QM7b-4289,Training,-1502.808594,-1502.735305
AE-QM7b-1459,Training,-1731.545898,-1731.990954
AE-QM7b-4307,Training,-1533.151489,-1533.433907
AE-QM7b-5586,Training,-1695.818359,-1695.48618
AE-QM7b-6241,Training,-1375.178833,-1374.85635
AE-QM7b-4136,Training,-1624.881592,-1624.740255
AE-QM7b-3717,Training,-1532.088623,-1531.868594
AE-QM7b-530,Training,-1474.359497,-1474.029572
AE-QM7b-3764,Training,-1674.738037,-1674.969185
IE-IL174-146,Training,-87.28469849,-88.332
AE-QM7b-5621,Training,-1342.823853,-1343.032033
IE-ARION583-133,Training,-11.83456421,-11.656
AE-QM7b-2773,Training,-1474.241943,-1473.848412
AE-QM7b-4827,Training,-1430.944336,-1430.863195
AE-QM7b-5688,Training,-1568.019653,-1568.025568
AE-QM7b-1251,Training,-1882.534668,-1882.763584
IE-RG18-13,Training,-0.057449341,-0.33
AE-QM7b-4946,Training,-1156.262817,-1155.966687
IE-S22TRM-21,Training,-9.345092773,-8.365650109
AE-QM7b-3065,Training,-1363.730713,-1365.667578
AE-QM7b-5039,Training,-1745.990845,-1746.417436
IE-SSI-034ALA-152GLU-1,Training,-4.404449463,-4.16
AE-QM7b-647,Training,-1259.795166,-1259.376772
AE-TAE140-111,Training,-253.9260864,-260.621
AE-QM7b-3262,Training,-1564.308105,-1564.421178
AE-QM7b-2982,Training,-1920.980591,-1920.42553
AE-QM7b-2916,Training,-1130.879761,-1133.612401
AE-QM7b-5606,Training,-1459.036987,-1459.525449
AE-QM7b-5457,Training,-1703.921143,-1704.053535
AE-QM7b-2252,Training,-1761.380005,-1760.423529
AE-QM7b-6627,Training,-1444.665161,-1443.986102
AE-QM7b-329,Training,-1325.621582,-1325.550508
AE-QM7b-4240,Training,-1628.883911,-1629.165814
AE-QM7b-982,Training,-1277.955322,-1276.778735
AE-QM7b-279,Training,-1599.546387,-1598.928591
AE-QM7b-321,Training,-1214.759766,-1215.054371
AE-QM7b-733,Training,-1270.634033,-1268.68362
AE-QM7b-5274,Training,-1369.388428,-1369.374904
AE-QM7b-2530,Training,-1621.918213,-1621.648523
AE-QM7b-1546,Training,-1766.531372,-1766.163198
AE-QM7b-4795,Training,-1409.526367,-1409.838945
AE-QM7b-2190,Training,-1785.987549,-1786.012285
IE-ARION583-414,Training,-6.98009491,-7.302
AE-QM7b-6382,Training,-1299.138428,-1300.149576
AE-QM7b-5557,Training,-1375.841797,-1376.310519
IE-SSI-074SER-111GLU-1,Training,-21.48605347,-20.78
AE-QM7b-4844,Training,-1400.925659,-1400.86542
AE-QM7b-1960,Training,-1657.920654,-1658.013257
AE-QM7b-287,Training,-1431.973633,-1432.400835
AE-QM7b-2196,Training,-1898.523926,-1898.40987
IE-IL16-6,Training,-112.2368622,-114
AE-QM7b-2551,Training,-1645.855347,-1645.98927
AE-QM7b-6226,Training,-1575.513428,-1575.757396
AE-QM7b-4559,Training,-1566.966431,-1567.220193
AE-QM7b-472,Training,-1290.251953,-1290.543559
AE-QM7b-2617,Training,-1655.583496,-1655.55069
AE-QM7b-3978,Training,-1569.401978,-1568.626521
AE-QM7b-5024,Training,-1396.846802,-1396.730916
IE-RG18-0,Training,-0.153198242,-0.08
IE-ARION583-452,Training,-9.594039917,-8.974
AE-QM7b-5590,Training,-1462.637207,-1463.711094
IE-RG18-3,Training,-0.651092529,-0.27
AE-QM7b-3036,Training,-1400.475586,-1401.145876
AE-QM7b-2068,Training,-1752.456177,-1753.081593
AE-QM7b-5460,Training,-1693.829224,-1693.529651
AE-QM7b-2997,Training,-1774.932129,-1774.712243
AE-QM7b-6009,Training,-1484.758789,-1484.962745
AE-QM7b-1992,Training,-1381.295776,-1382.817888
AE-QM7b-5341,Training,-1858.852661,-1858.785622
AE-QM7b-6217,Training,-1507.649902,-1507.20088
IE-CARBHB12-8,Training,-7.200317383,-7.839
AE-QM7b-2083,Training,-1495.058838,-1494.937307
AE-QM7b-133,Training,-1158.680908,-1158.697586
AE-QM7b-3331,Training,-1567.774292,-1566.324163
AE-QM7b-5030,Training,-1601.30188,-1601.581485
AE-QM7b-673,Training,-1415.648438,-1414.801421
AE-QM7b-317,Training,-1585.260742,-1585.654399
AE-QM7b-3968,Training,-1833.214478,-1832.992895
AE-QM7b-3341,Training,-1640.029053,-1640.108149
IE-ARION583-206,Training,-5.208740234,-4.654
AE-QM7b-7123,Training,-1101.768677,-1102.465587
AE-QM7b-4355,Training,-1261.209717,-1261.983789
IE-ARION583-280,Training,2.297973633,2.578
AE-QM7b-1077,Training,-1550.023926,-1549.59219
AE-QM7b-5959,Training,-1487.841919,-1487.750515
AE-QM7b-682,Training,-1287.04541,-1285.645252
AE-QM7b-970,Training,-1304.863159,-1304.361778
AE-QM7b-6016,Training,-1402.832397,-1403.326575
AE-QM7b-4709,Training,-1706.561401,-1706.4798
IE-ARION583-50,Training,-26.56134415,-27.739
AE-QM7b-4075,Training,-1642.250488,-1642.092533
AE-QM7b-5903,Training,-1694.173828,-1693.879847
AE-QM7b-618,Training,-1306.737427,-1306.703512
AE-QM7b-5887,Training,-1695.303711,-1695.038482
AE-QM7b-5748,Training,-1703.516602,-1703.569071
AE-QM7b-4429,Training,-1640.278076,-1640.727915
AE-QM7b-1704,Training,-1653.688599,-1653.977465
IE-IL174-138,Training,-91.76574707,-92.323
AE-QM7b-590,Training,-1627.061035,-1626.825115
AE-QM7b-5045,Training,-1710.008301,-1710.174325
AE-QM7b-3931,Training,-1525.137329,-1524.838753
AE-QM7b-5006,Training,-1555.246704,-1554.9361
IE-ARION583-477,Training,-12.94525146,-12.373
IE-ARION583-449,Training,-9.622764587,-8.689
AE-QM7b-176,Training,-1247.484619,-1247.829311
AE-QM7b-6044,Training,-1399.691895,-1400.081487
AE-QM7b-6318,Training,-1553.261475,-1553.311564
IE-HAL59-22,Training,-5.208740234,-5.91
AE-QM7b-3547,Training,-1684.944824,-1684.98333
AE-QM7b-2224,Training,-1470.814087,-1471.521499
AE-QM7b-385,Training,-1607.865845,-1607.63404
AE-QM7b-7206,Training,-1200.210693,-1200.192891
AE-QM7b-2937,Training,-1637.427979,-1637.989831
AE-QM7b-3850,Training,-1708.977905,-1708.981178
AE-QM7b-2275,Training,-2050.623779,-2050.075349
AE-QM7b-6498,Training,-1574.571289,-1573.725529
AE-QM7b-6104,Training,-1266.415039,-1267.304701
IE-PNICO23-14,Training,-3.53313446,-4.34
AE-QM7b-4193,Training,-1774.070313,-1773.672451
IE-SSI-239ASP-244THR-1,Training,-4.117202759,-3.746
AE-QM7b-3086,Training,-1560.573975,-1560.923746
AE-QM7b-1291,Training,-1762.664307,-1763.074804
IE-ARION583-574,Training,-16.75127029,-16.496
AE-QM7b-4558,Training,-1412.051636,-1412.872646
AE-QM7b-4268,Training,-1416.191528,-1415.516147
AE-QM7b-2746,Training,-1769.766479,-1769.68061
AE-QM7b-1080,Training,-1410.716187,-1410.758011
AE-QM7b-267,Training,-1291.851929,-1291.514482
AE-QM7b-5014,Training,-1553.925415,-1553.468032
IE-ARION583-300,Training,-5.247039795,-5.204
AE-QM7b-5257,Training,-1604.415283,-1604.022541
AE-QM7b-2504,Training,-1776.736938,-1776.729389
AE-QM7b-3219,Training,-1569.593506,-1570.105747
AE-QM7b-6703,Training,-1143.511475,-1143.532282
AE-QM7b-1795,Training,-1617.820068,-1618.053031
IE-S66-9,Training,-5.208740234,-5.42
AE-QM7b-3741,Training,-1689.177002,-1689.449275
IE-ARION583-84,Training,-6.817321777,-7.147
AE-QM7b-3348,Training,-1709.724731,-1709.672535
AE-QM7b-745,Training,-1410.382202,-1409.433898
IE-ARION583-68,Training,-25.56555557,-24.888
IE-ARION583-497,Training,-8.042907715,-8.491
AE-QM7b-285,Training,-1434.893921,-1435.354133
AE-QM7b-3610,Training,-1536.598389,-1536.277524
IE-SSI-031TRP-168GLN-2,Training,-2.949066162,-3.351
AE-QM7b-6981,Training,-1350.383301,-1350.65455
AE-QM7b-6509,Training,-1594.391235,-1593.8292
AE-QM7b-1190,Training,-2029.157715,-2028.628884
AE-QM7b-210,Training,-1111.910034,-1112.065272
AE-QM7b-3072,Training,-1671.635742,-1672.206452
IE-ARION583-361,Training,-4.002304077,-4.51
AE-QM7b-228,Training,-1735.521851,-1735.360111
AE-QM7b-2740,Training,-1779.207275,-1778.812824
IE-SSI-076ASP-089TYR-1,Training,-26.06285095,-26.05
AE-QM7b-6998,Training,-1420.190308,-1420.348912
AE-QM7b-1811,Training,-1594.094482,-1594.534031
AE-QM7b-1884,Training,-1506.356079,-1506.486989
AE-QM7b-1305,Training,-1906.644287,-1907.322659
AE-QM7b-4932,Training,-1250.894165,-1251.43082
AE-QM7b-307,Training,-1595.352661,-1594.511346
AE-QM7b-6388,Training,-1394.462646,-1395.296576
AE-QM7b-1183,Training,-1896.131104,-1896.4369
AE-QM7b-156,Training,-1261.559692,-1261.469921
AE-QM7b-3630,Training,-1836.814575,-1836.313967
AE-QM7b-1348,Training,-1580.346069,-1580.357715
AE-QM7b-1204,Training,-2028.966187,-2028.769759
AE-QM7b-7031,Training,-1573.215454,-1572.853036
AE-QM7b-6839,Training,-1225.884521,-1225.391843
AE-QM7b-5367,Training,-1324.171997,-1323.38556
AE-QM7b-3054,Training,-1326.42688,-1324.949423
AE-QM7b-4405,Training,-1649.335815,-1649.530791
AE-QM7b-1336,Training,-1730.665039,-1731.262711
IE-ARION583-579,Training,-13.34739685,-13.81
AE-QM7b-2079,Training,-1595.243408,-1595.666247
AE-QM7b-529,Training,-1175.387817,-1175.539001
AE-QM7b-3748,Training,-1686.64917,-1686.525418
IE-ARION583-543,Training,-16.05709076,-16.304
AE-QM7b-3107,Training,-1487.641968,-1488.418109
AE-QM7b-1593,Training,-1504.690063,-1505.190982
AE-QM7b-4317,Training,-1227.065674,-1227.840228
AE-QM7b-1919,Training,-1504.402832,-1503.519464
AE-QM7b-659,Training,-1355.17334,-1354.198894
AE-QM7b-5062,Training,-1739.001099,-1738.770069
AE-QM7b-2903,Training,-1775.452759,-1775.538833
AE-QM7b-3188,Training,-1558.544067,-1558.289966
AE-QM7b-129,Training,-1312.255127,-1312.033724
IE-CARBHB12-10,Training,-3.983154297,-3.241
AE-QM7b-5234,Training,-1578.286255,-1578.276495
AE-QM7b-4863,Training,-1446.781128,-1447.090517
AE-QM7b-1552,Training,-1479.71875,-1480.098009
IE-S22TRM-23,Training,-22.82653809,-22.83531266
AE-QM7b-6936,Training,-1420.726563,-1421.081747
AE-QM7b-3295,Training,-1386.672119,-1385.973331
AE-QM7b-585,Training,-1330.187744,-1328.725228
AE-QM7b-3452,Training,-1561.608032,-1561.515419
IE-SSI-057PRO-063TYR-1,Training,-1.41708374,-1.688
IE-IL174-140,Training,-94.52331543,-94.848
IE-IL174-76,Training,-77.59490967,-77.444
IE-ARION583-290,Training,-21.6488266,-22.188
AE-QM7b-4280,Training,-1210.90332,-1209.722459
AE-QM7b-7193,Training,-988.0440063,-987.8683031
AE-QM7b-6165,Training,-1332.325073,-1332.976837
AE-QM7b-6378,Training,-1407.174683,-1407.394143
AE-QM7b-272,Training,-1133.193481,-1132.831831
AE-QM7b-4870,Training,-1413.373047,-1413.776935
IE-IL174-75,Training,-78.4375,-77.497
AE-QM7b-1938,Training,-1767.890991,-1767.838775
AE-QM7b-6428,Training,-1469.756104,-1469.755969
AE-QM7b-137,Training,-1257.136108,-1257.327422
AE-QM7b-568,Training,-1222.745239,-1222.778789
AE-QM7b-3268,Training,-1396.17041,-1396.688848
AE-QM7b-3190,Training,-1558.141968,-1558.203263
IE-ARION583-576,Training,-29.89340591,-29.801
AE-QM7b-115,Training,-1198.754272,-1198.954338
AE-QM7b-1310,Training,-1725.303101,-1725.597702
AE-QM7b-2707,Training,-1644.419189,-1644.369798
AE-QM7b-952,Training,-1344.047363,-1343.659881
AE-QM7b-6663,Training,-1264.741821,-1263.917948
AE-QM7b-408,Training,-1606.324219,-1606.197328
IE-ARION583-98,Training,-6.922645569,-6.577
AE-QM7b-4327,Training,-1390.138184,-1390.377385
AE-QM7b-6359,Training,-1443.137939,-1443.242317
AE-QM7b-177,Training,-1120.509277,-1120.684459
AE-QM7b-1665,Training,-1754.600952,-1754.118027
AE-QM7b-6494,Training,-1443.057617,-1442.906339
AE-QM7b-1940,Training,-1900.266479,-1900.422523
AE-QM7b-938,Training,-913.2556152,-911.9877162
AE-QM7b-5900,Training,-1438.891479,-1439.257736
AE-QM7b-6276,Training,-1261.298462,-1261.113311
IE-ARION583-518,Training,-19.41548347,-19.442
AE-QM7b-3578,Training,-1827.929077,-1827.619292
AE-QM7b-2270,Training,-1902.43042,-1902.185668
AE-QM7b-1406,Training,-1743.974121,-1743.493247
AE-QM7b-881,Training,-1480.559326,-1479.231446
AE-QM7b-2284,Training,-1744.279297,-1744.343952
IE-S66-49,Training,-2.968215942,-3.23
AE-QM7b-1857,Training,-1534.870117,-1535.409066
AE-QM7b-4259,Training,-1420.634277,-1420.149535
AE-QM7b-2426,Training,-1786.139526,-1786.148083
AE-QM7b-5805,Training,-1596.361328,-1596.959267
IE-ARION583-187,Training,-1.800079346,-1.951
AE-QM7b-6657,Training,-1107.452393,-1106.811139
AE-QM7b-5231,Training,-1849.146118,-1848.770818
AE-QM7b-6959,Training,-1226.727173,-1226.423834
AE-QM7b-6446,Training,-1268.441406,-1267.608494
AE-QM7b-1220,Training,-2175.321045,-2174.867367
AE-QM7b-2684,Training,-1899.577148,-1899.411778
AE-TAE140-35,Training,-229.4457092,-232.974
AE-QM7b-2241,Training,-1586.894165,-1587.078762
AE-QM7b-4816,Training,-1310.507446,-1312.32833
AE-QM7b-303,Training,-1740.529541,-1740.756486
AE-QM7b-556,Training,-1444.438843,-1444.653891
IE-ARION583-237,Training,-11.04942322,-11.098
AE-QM7b-748,Training,-1543.8302,-1542.623048
AE-QM7b-3013,Training,-1231.600708,-1231.66917
IE-ARION583-231,Training,-34.20210648,-33.569
IE-ARION583-451,Training,-26.65649414,-26.632
AE-QM7b-2058,Training,-1895.976929,-1895.760878
AE-QM7b-775,Training,-1236.81543,-1236.083741
IE-PNICO23-8,Training,-5.132141113,-4.91
AE-QM7b-972,Training,-1409.718018,-1409.160884
AE-QM7b-443,Training,-1456.733032,-1457.09309
AE-QM7b-3584,Training,-1679.985107,-1679.789268
AE-QM7b-1455,Training,-1280.800049,-1278.535687
AE-QM7b-6937,Training,-1223.024048,-1223.178546
AE-QM7b-2754,Training,-1634.748535,-1634.605732
AE-QM7b-2229,Training,-1655.889893,-1655.549937
AE-QM7b-784,Training,-1389.891968,-1388.983513
AE-QM7b-1823,Training,-1627.606567,-1627.101656
AE-QM7b-4811,Training,-1711.559448,-1711.458641
AE-QM7b-5795,Training,-1411.334961,-1410.873064
AE-QM7b-1565,Training,-1744.164429,-1744.315389
AE-QM7b-7153,Training,-1294.619141,-1294.287255
AE-QM7b-6741,Training,-1565.703979,-1563.969426
AE-QM7b-1747,Training,-1384.455566,-1383.448485
AE-QM7b-2703,Training,-1744.604858,-1744.848427
AE-QM7b-1000,Training,-1451.943237,-1451.224506
AE-QM7b-6122,Training,-1284.6073,-1284.36177
AE-QM7b-1981,Training,-1659.56665,-1659.675525
AE-QM7b-3167,Training,-1514.853882,-1514.922574
AE-QM7b-5994,Training,-1438.41272,-1438.352908
IE-RG18-7,Training,-0.919189453,-1.51
IE-ARION583-169,Training,-15.61903954,-15.547
AE-QM7b-821,Training,-1210.427124,-1209.835993
AE-QM7b-345,Training,-1465.733398,-1466.072991
AE-QM7b-5221,Training,-1704.189209,-1704.456436
AE-QM7b-2279,Training,-1904.670898,-1904.402642
AE-QM7b-6352,Training,-1426.535034,-1425.606621
AE-QM7b-7052,Training,-1337.028931,-1336.279285
AE-QM7b-1910,Training,-1662.381714,-1662.48537
IE-HAL59-44,Training,-20.16471863,-20.34
AE-QM7b-4486,Training,-1675.906128,-1675.769578
IE-SSI-034ASN-076SER-1,Training,-1.464958191,-1.631
AE-QM7b-4256,Training,-1624.824097,-1624.823054
AE-QM7b-1168,Training,-1052.362305,-1054.317169
AE-QM7b-3893,Training,-1982.078003,-1981.502154
AE-QM7b-925,Training,-1393.779297,-1393.189578
IE-ARION583-64,Training,-0.382995605,-0.423
AE-QM7b-5854,Training,-1400.611084,-1401.091585
AE-TAE140-61,Training,-318.7145691,-317.647
IE-S66-44,Training,-2.604370117,-2.87
AE-QM7b-4276,Training,-1497.90625,-1497.989029
AE-QM7b-1048,Training,-1306.10791,-1306.656506
AE-QM7b-2719,Training,-1916.810669,-1916.653904
AE-QM7b-1002,Training,-1150.386597,-1150.801082
AE-QM7b-6811,Training,-1398.304565,-1397.920831
AE-QM7b-2473,Training,-1906.375244,-1906.558542
AE-QM7b-3203,Training,-1582.577026,-1582.975582
AE-QM7b-4000,Training,-1838.423218,-1838.217705
AE-QM7b-725,Training,-1534.178711,-1533.095777
AE-QM7b-3080,Training,-1558.697266,-1559.207883
AE-QM7b-3611,Training,-1404.261108,-1402.952439
AE-QM7b-4589,Training,-1579.62439,-1579.637662
IE-ARION583-321,Training,-7.659912109,-8.543
AE-QM7b-6683,Training,-1173.518188,-1174.032956
AE-QM7b-5766,Training,-1520.681396,-1520.546827
AE-QM7b-4825,Training,-1720.119385,-1719.865355
AE-QM7b-3383,Training,-1638.439697,-1638.154808
IE-ARION583-171,Training,-22.21434402,-22.764
AE-QM7b-3844,Training,-1680.387207,-1680.466444
AE-QM7b-4720,Training,-1431.671997,-1432.274311
AE-QM7b-4229,Training,-1624.000732,-1623.56038
AE-QM7b-5267,Training,-1415.23291,-1415.475522
AE-QM7b-6638,Training,-1244.749512,-1243.875622
IE-IL174-101,Training,-99.96185303,-99.811
IE-ARION583-93,Training,-13.19419861,-12.96
AE-QM7b-4451,Training,-1193.132324,-1193.059895
AE-QM7b-2409,Training,-1786.254395,-1785.637998
IE-ARION583-268,Training,-1.608581543,-2.198
AE-QM7b-5169,Training,-1353.413696,-1353.734134
AE-QM7b-3229,Training,-1851.387573,-1851.252216
AE-QM7b-4837,Training,-1330.204224,-1330.470157
AE-QM7b-694,Training,-1412.220581,-1411.103144
AE-QM7b-5583,Training,-1559.249023,-1558.941596
AE-QM7b-2568,Training,-1233.113647,-1233.736874
AE-QM7b-1451,Training,-1879.547363,-1879.736635
AE-QM7b-7184,Training,-1225.252563,-1224.490799
IE-ARION583-313,Training,-7.104568481,-6.425
AE-QM7b-194,Training,-1261.220947,-1261.09682
IE-S22TRM-9,Training,-2.161531448,-1.84243058
AE-QM7b-5902,Training,-1354.681396,-1354.660078
AE-QM7b-926,Training,-1232.870605,-1232.559396
