.xyz file name,wB97X-D/aug-cc-pVQZ AE (kcal/mol)
AE-QM7b-1,-418.3151549
AE-QM7b-2,-710.1494623
AE-QM7b-3,-560.3779875
AE-QM7b-4,-399.9767374
AE-QM7b-5,-852.4461904
AE-QM7b-6,-1003.419973
AE-QM7b-7,-856.5514342
AE-QM7b-8,-700.0189409
AE-QM7b-9,-719.4362181
AE-QM7b-10,-875.0247586
AE-QM7b-11,-612.4312313
AE-QM7b-12,-867.8557063
AE-QM7b-13,-649.8774791
AE-QM7b-14,-806.3922455
AE-QM7b-15,-674.6846117
AE-QM7b-16,-794.8908183
AE-QM7b-17,-1147.130591
AE-QM7b-18,-1147.288979
AE-QM7b-19,-1296.741231
AE-QM7b-20,-1297.567552
AE-QM7b-21,-1006.406423
AE-QM7b-22,-846.6436388
AE-QM7b-23,-688.1925801
AE-QM7b-24,-1152.999928
AE-QM7b-25,-1153.677575
AE-QM7b-26,-999.3666681
AE-QM7b-27,-1149.949881
AE-QM7b-28,-993.2288604
AE-QM7b-29,-1015.179819
AE-QM7b-30,-1016.764929
AE-QM7b-31,-1168.792942
AE-QM7b-32,-756.6204834
AE-QM7b-33,-593.8067039
AE-QM7b-34,-1170.924558
AE-QM7b-35,-905.4460601
AE-QM7b-36,-1162.941929
AE-QM7b-37,-1008.890237
AE-QM7b-38,-1157.094762
AE-QM7b-39,-1020.591706
AE-QM7b-40,-1020.221454
AE-QM7b-41,-862.6210009
AE-QM7b-42,-945.1496558
AE-QM7b-43,-947.7801986
AE-QM7b-44,-1099.577203
AE-QM7b-45,-822.42912
AE-QM7b-46,-1102.814102
AE-QM7b-47,-974.9060928
AE-QM7b-48,-967.4831214
AE-QM7b-49,-1091.350802
AE-QM7b-50,-946.6251978
AE-QM7b-51,-949.7789024
AE-QM7b-52,-657.15209
AE-QM7b-53,-951.2095402
AE-QM7b-54,-791.2193861
AE-QM7b-55,-812.820016
AE-QM7b-56,-866.5730274
AE-QM7b-57,-854.6887606
AE-QM7b-58,-798.9437912
AE-QM7b-59,-971.1641042
AE-QM7b-60,-1459.220256
AE-QM7b-61,-1442.040755
AE-QM7b-62,-1442.447503
AE-QM7b-63,-1442.50849
AE-QM7b-64,-1440.587509
AE-QM7b-65,-1588.98157
AE-QM7b-66,-1590.860948
AE-QM7b-67,-1589.124258
AE-QM7b-68,-1175.081244
AE-QM7b-69,-1315.414126
AE-QM7b-70,-1292.879596
AE-QM7b-71,-1136.497917
AE-QM7b-72,-1295.57422
AE-QM7b-73,-1137.93867
AE-QM7b-74,-978.3628312
AE-QM7b-75,-1446.319836
AE-QM7b-76,-1302.198863
AE-QM7b-77,-1143.182248
AE-QM7b-78,-1301.887753
AE-QM7b-79,-1142.572842
AE-QM7b-80,-1443.029493
AE-QM7b-81,-1286.251188
AE-QM7b-82,-1145.814623
AE-QM7b-83,-988.885429
AE-QM7b-84,-1445.160851
AE-QM7b-85,-1445.156603
AE-QM7b-86,-1291.55911
AE-QM7b-87,-1442.429136
AE-QM7b-88,-1285.996196
AE-QM7b-89,-1326.581904
AE-QM7b-90,-1069.341178
AE-QM7b-91,-1181.981819
AE-QM7b-92,-1312.469299
AE-QM7b-93,-1311.429959
AE-QM7b-94,-1312.019128
AE-QM7b-95,-1304.692146
AE-QM7b-96,-1309.000023
AE-QM7b-97,-1312.200275
AE-QM7b-98,-1313.782298
AE-QM7b-99,-1309.105173
AE-QM7b-100,-1162.659458
AE-QM7b-101,-1003.207771
AE-QM7b-102,-1461.951168
AE-QM7b-103,-1050.076171
AE-QM7b-104,-889.0375783
AE-QM7b-105,-1318.126062
AE-QM7b-106,-1054.703284
AE-QM7b-107,-1316.71275
AE-QM7b-108,-1053.570854
AE-QM7b-109,-1462.659958
AE-QM7b-110,-1466.09816
AE-QM7b-111,-1199.221115
AE-QM7b-112,-1162.021777
AE-QM7b-113,-896.7416397
AE-QM7b-114,-1463.493495
AE-QM7b-115,-1198.954338
AE-QM7b-116,-1456.050494
AE-QM7b-117,-1304.095767
AE-QM7b-118,-1457.880644
AE-QM7b-119,-1315.530779
AE-QM7b-120,-1157.747484
AE-QM7b-121,-1450.903501
AE-QM7b-122,-1305.812025
AE-QM7b-123,-1307.595326
AE-QM7b-124,-1457.632071
AE-QM7b-125,-1309.152744
AE-QM7b-126,-1150.138954
AE-QM7b-127,-1061.298635
AE-QM7b-128,-1315.772493
AE-QM7b-129,-1312.033724
AE-QM7b-130,-1048.962171
AE-QM7b-131,-913.745283
AE-QM7b-132,-1315.255054
AE-QM7b-133,-1158.697586
AE-QM7b-134,-935.5121071
AE-QM7b-135,-1115.869183
AE-QM7b-136,-990.6760966
AE-QM7b-137,-1257.327422
AE-QM7b-138,-1112.290947
AE-QM7b-139,-1242.693149
AE-QM7b-140,-1243.356451
AE-QM7b-141,-1245.231656
AE-QM7b-142,-1240.104642
AE-QM7b-143,-1245.661633
AE-QM7b-144,-1245.075702
AE-QM7b-145,-1240.856692
AE-QM7b-146,-1094.088723
AE-QM7b-147,-932.8897595
AE-QM7b-148,-1392.722151
AE-QM7b-149,-1113.483372
AE-QM7b-150,-1248.930955
AE-QM7b-151,-1120.452151
AE-QM7b-152,-1249.053676
AE-QM7b-153,-1120.182161
AE-QM7b-154,-1393.643695
AE-QM7b-155,-1398.882109
AE-QM7b-156,-1261.469921
AE-QM7b-157,-1092.720296
AE-QM7b-158,-959.0065348
AE-QM7b-159,-1395.463655
AE-QM7b-160,-1267.793181
AE-QM7b-161,-1261.476196
AE-QM7b-162,-1384.348569
AE-QM7b-163,-1387.641202
AE-QM7b-164,-1098.166538
AE-QM7b-165,-1121.808674
AE-QM7b-166,-958.2671229
AE-QM7b-167,-1247.484849
AE-QM7b-168,-1089.235922
AE-QM7b-169,-1245.244664
AE-QM7b-170,-1234.03234
AE-QM7b-171,-1241.402739
AE-QM7b-172,-1386.417427
AE-QM7b-173,-1242.266164
AE-QM7b-174,-1236.031928
AE-QM7b-175,-1076.127384
AE-QM7b-176,-1247.829311
AE-QM7b-177,-1120.684459
AE-QM7b-178,-1243.123917
AE-QM7b-179,-1114.33468
AE-QM7b-180,-955.3785885
AE-QM7b-181,-1245.952456
AE-QM7b-182,-1089.238263
AE-QM7b-183,-970.4576613
AE-QM7b-184,-847.626616
AE-QM7b-185,-871.1536926
AE-QM7b-186,-1110.79242
AE-QM7b-187,-1105.741993
AE-QM7b-188,-1159.888236
AE-QM7b-189,-1006.685016
AE-QM7b-190,-1269.876616
AE-QM7b-191,-1150.611012
AE-QM7b-192,-1271.222384
AE-QM7b-193,-1095.287925
AE-QM7b-194,-1261.09682
AE-QM7b-195,-1144.78026
AE-QM7b-196,-1152.81708
AE-QM7b-197,-1125.629201
AE-QM7b-198,-1257.267791
AE-QM7b-199,-1097.548956
AE-QM7b-200,-1117.916712
AE-QM7b-201,-1112.309866
AE-QM7b-202,-1111.618094
AE-QM7b-203,-1264.818572
AE-QM7b-204,-1002.531003
AE-QM7b-205,-1012.829168
AE-QM7b-206,-849.6102847
